Rank,Feature,Importance
1,mout_mtq_2,0.094827
2,mout_mtq_1,0.066976
3,mout_mtq_3,0.066374
4,out_gps_3_var_10,0.057855
5,out_gps_2_var_10,0.056873
6,Vout_ss_3_var_10,0.054377
7,out_gps_1_var_10,0.054338
8,Vout_ss_5_var_10,0.053613
9,Vout_ss_1_var_10,0.053261
10,Vout_ss_6_var_10,0.051359
11,Vout_ss_4_var_10,0.050730
12,Vout_ss_2_var_10,0.042895
13,Bout_magn_3_var_10,0.039117
14,Bout_magn_2_var_10,0.036412
15,Vout_ss_6,0.024886
16,Vout_ss_1,0.023449
17,Vout_ss_5,0.022608
18,Vout_ss_2,0.019347
19,out_gps_3_delta,0.018921
20,Vout_ss_4,0.018671
21,Vout_ss_3,0.016846
22,out_gps_2_delta,0.015923
23,out_gps_1_delta,0.008024
24,out_gps_1,0.007631
25,out_gps_3,0.003683
26,Vout_ss_4_delta,0.003608
27,Vout_ss_1_delta,0.002857
28,Vout_ss_5_delta,0.002528
29,Vout_ss_6_delta,0.002464
30,Vout_ss_5_max_10,0.002276
31,Vout_ss_3_delta,0.002149
32,Vout_ss_4_max_10,0.001712
33,Vout_ss_4_min_10,0.001305
34,mout_mtq_3_min_10,0.001274
35,Bout_magn_3_delta,0.001240
36,mout_mtq_1_min_10,0.001206
37,out_gps_1_median_10,0.001177
38,out_gps_1_min_10,0.001147
39,Bout_magn_3_max_10,0.000968
40,Bout_magn_3_mean_10,0.000923
41,point_error_1_mean_10,0.000915
42,point_error_1_median_10,0.000909
43,point_error_1_delta,0.000902
44,Bout_magn_2_min_10,0.000866
45,Vout_ss_2_max_10,0.000823
46,out_gps_1_max_10,0.000795
47,wout_gyro_2,0.000735
48,mout_mtq_1_max_10,0.000706
49,Vout_ss_5_min_10,0.000686
50,out_gps_2_mean_10,0.000682
51,Bout_magn_3_min_10,0.000671
52,mout_mtq_2_max_10,0.000663
53,Bout_magn_1,0.000663
54,wout_gyro_3_mean_10,0.000652
55,Vout_ss_1_max_10,0.000645
56,out_gps_3_max_10,0.000636
57,wout_gyro_3,0.000597
58,Bout_magn_3,0.000553
59,Bout_magn_1_max_10,0.000536
60,wout_gyro_1_median_10,0.000534
