Rank,Feature,Importance
1,mout_mtq_2_dev_20,0.118810
2,mout_mtq_3_dev_20,0.115899
3,mout_mtq_1_dev_20,0.111153
4,Vout_ss_5_dev_20,0.048988
5,Vout_ss_6_dev_20,0.038404
6,Vout_ss_3,0.035779
7,Vout_ss_1_std_20,0.035405
8,Vout_ss_3_range_20,0.033248
9,Vout_ss_2_std_20,0.032949
10,Vout_ss_2,0.031441
11,Vout_ss_5_min_20,0.029809
12,Vout_ss_4_dev_20,0.026946
13,Vout_ss_6_min_20,0.023774
14,Vout_ss_4,0.022328
15,Vout_ss_4_skew_20,0.019390
16,Vout_ss_1,0.017073
17,Vout_ss_4_min_20,0.015842
18,Vout_ss_2_skew_20,0.015773
19,Vout_ss_3_skew_20,0.015325
20,Vout_ss_2_min_20,0.014971
21,Vout_ss_5_skew_20,0.014902
22,Vout_ss_3_min_20,0.012519
23,Vout_ss_6_skew_20,0.012266
24,Vout_ss_1_min_20,0.012107
25,Vout_ss_1_dev_20,0.012103
26,Bout_magn_3_std_20,0.011956
27,Bout_magn_1_skew_20,0.010716
28,Bout_magn_2_std_20,0.010586
29,Vout_ss_2_dev_20,0.010443
30,Bout_magn_3,0.009177
31,Vout_ss_1_skew_20,0.008544
32,Bout_magn_2_skew_20,0.008140
33,Bout_magn_1_dev_20,0.008138
34,Bout_magn_3_skew_20,0.007824
35,Bout_magn_2_dev_20,0.006369
36,Vout_ss_6,0.005741
37,wout_gyro_3_range_20,0.005101
38,Bout_magn_1_std_20,0.005069
39,wout_gyro_2_range_20,0.004091
40,Vout_ss_5_kurt_20,0.003137
41,Vout_ss_6_kurt_20,0.002597
42,wout_gyro_2_dev_20,0.002328
43,Vout_ss_3_dev_20,0.001999
44,Vout_ss_2_kurt_20,0.001991
45,Vout_ss_5,0.001917
46,wout_gyro_1_range_20,0.001842
47,wout_gyro_3_min_20,0.001830
48,wout_gyro_1_dev_20,0.001761
49,Vout_ss_1_max_20,0.001498
