Rank,Feature,Importance
1,mout_mtq_2_dev_20,0.013230
2,Vout_ss_4_range_20,0.012482
3,Vout_ss_3,0.011178
4,Vout_ss_1_range_20,0.010929
5,mout_mtq_1_var_20,0.010198
6,Bout_magn_1_skew_20,0.010159
7,Vout_ss_6_std_20,0.010136
8,Vout_ss_3_std_20,0.009985
9,Vout_ss_5_std_20,0.009856
10,Vout_ss_2_var_20,0.009811
11,Vout_ss_5_dev_20,0.009341
12,Bout_magn_1_std_20,0.009340
13,Vout_ss_5_range_20,0.009257
14,Vout_ss_3_mean_20,0.009030
15,Vout_ss_6_dev_20,0.008971
16,Vout_ss_2_dev_20,0.008936
17,mout_mtq_3_dev_20,0.008886
18,Vout_ss_2,0.008880
19,wout_gyro_1_var_20,0.008876
20,wout_gyro_1_skew_20,0.008853
21,wout_gyro_2_std_20,0.008618
22,wout_gyro_3_var_20,0.008569
23,Vout_ss_4,0.008551
24,wout_gyro_2_range_20,0.008527
25,Bout_magn_2_range_20,0.008495
26,Vout_ss_1_var_20,0.008465
27,Bout_magn_3_std_20,0.008429
28,mout_mtq_3_std_20,0.008110
29,Vout_ss_2_max_20,0.007975
30,Vout_ss_1,0.007853
31,wout_gyro_2_var_20,0.007754
32,mout_mtq_2_var_20,0.007753
33,Vout_ss_1_dev_20,0.007726
34,Vout_ss_6_var_20,0.007672
35,Vout_ss_4_dev_20,0.007571
36,Vout_ss_6_mean_20,0.007570
37,mout_mtq_3_mean_20,0.007517
38,Bout_magn_3_skew_20,0.007452
39,Vout_ss_2_std_20,0.007444
40,wout_gyro_3_skew_20,0.007406
41,Vout_ss_1_max_20,0.007352
42,Vout_ss_3_var_20,0.007299
43,Vout_ss_4_var_20,0.007259
44,Bout_magn_2_var_20,0.007242
45,Vout_ss_5_mean_20,0.007226
46,wout_gyro_1_std_20,0.007161
47,mout_mtq_3_var_20,0.007147
48,Bout_magn_3_var_20,0.007103
49,wout_gyro_3_std_20,0.006994
50,mout_mtq_2_range_20,0.006936
51,Bout_magn_2_skew_20,0.006915
52,Bout_magn_1_kurt_20,0.006910
53,Bout_magn_3_dev_20,0.006711
54,Vout_ss_4_std_20,0.006653
55,mout_mtq_1_std_20,0.006620
56,Vout_ss_6_range_20,0.006598
57,Vout_ss_6,0.006434
58,Bout_magn_2_std_20,0.006400
59,wout_gyro_2_skew_20,0.006338
60,wout_gyro_1_range_20,0.006326
61,Vout_ss_3_kurt_20,0.006146
62,wout_gyro_3_range_20,0.006127
63,Bout_magn_2_dev_20,0.006083
64,mout_mtq_1_range_20,0.006048
65,Vout_ss_2_range_20,0.006047
66,Bout_magn_2_kurt_20,0.006034
67,wout_gyro_2_dev_20,0.006009
68,Vout_ss_5_var_20,0.005951
69,Vout_ss_1_std_20,0.005948
70,Vout_ss_5,0.005901
71,Vout_ss_2_skew_20,0.005714
72,wout_gyro_3_dev_20,0.005685
73,Bout_magn_1_var_20,0.005666
74,wout_gyro_2,0.005628
75,Bout_magn_3_range_20,0.005597
76,Bout_magn_3_kurt_20,0.005579
77,wout_gyro_1,0.005544
78,mout_mtq_2_std_20,0.005539
79,Vout_ss_3_range_20,0.005444
80,wout_gyro_2_kurt_20,0.005367
81,wout_gyro_1_kurt_20,0.005361
82,mout_mtq_3,0.005324
83,mout_mtq_1_mean_20,0.005317
84,Vout_ss_4_skew_20,0.005314
85,Vout_ss_6_kurt_20,0.005294
86,Vout_ss_1_skew_20,0.005235
87,wout_gyro_1_dev_20,0.005194
88,Bout_magn_1,0.005130
89,Bout_magn_3,0.005108
90,wout_gyro_3_max_20,0.005074
91,Bout_magn_3_accel,0.005055
92,Bout_magn_1_range_20,0.004953
93,wout_gyro_1_max_20,0.004915
94,Bout_magn_3_min_20,0.004896
95,Bout_magn_1_dev_20,0.004889
96,Vout_ss_4_mean_20,0.004882
97,wout_gyro_1_min_20,0.004852
98,wout_gyro_3_kurt_20,0.004809
99,mout_mtq_1_dev_20,0.004765
100,mout_mtq_3_max_20,0.004761
101,wout_gyro_3_mean_20,0.004719
102,wout_gyro_3,0.004698
103,Bout_magn_3_mean_20,0.004695
104,wout_gyro_1_median_20,0.004692
105,wout_gyro_2_max_20,0.004676
106,Vout_ss_5_max_20,0.004648
107,wout_gyro_2_mean_20,0.004635
108,mout_mtq_2,0.004594
109,mout_mtq_1_max_20,0.004563
110,Bout_magn_2_accel,0.004422
111,wout_gyro_3_min_20,0.004409
112,mout_mtq_3_kurt_20,0.004376
113,Bout_magn_2_max_20,0.004346
114,Bout_magn_1_min_20,0.004317
115,Bout_magn_3_median_20,0.004259
116,mout_mtq_2_max_20,0.004234
117,wout_gyro_2_median_20,0.004219
118,mout_mtq_1_skew_20,0.004206
119,wout_gyro_1_mean_20,0.004195
120,Bout_magn_2_mean_20,0.004186
121,Bout_magn_2_median_20,0.004165
122,mout_mtq_2_skew_20,0.004165
123,Bout_magn_3_max_20,0.004158
124,wout_gyro_2_min_20,0.004148
125,mout_mtq_1,0.004083
126,wout_gyro_3_median_20,0.004073
127,Bout_magn_1_mean_20,0.004028
128,Bout_magn_1_median_20,0.003931
129,Vout_ss_5_delta,0.003926
130,Vout_ss_3_min_20,0.003918
131,Bout_magn_1_max_20,0.003862
132,Vout_ss_3_max_20,0.003792
133,Bout_magn_2_delta,0.003780
134,Vout_ss_3_dev_20,0.003748
135,Vout_ss_2_median_20,0.003725
136,Vout_ss_6_median_20,0.003700
137,Vout_ss_5_kurt_20,0.003695
138,Vout_ss_4_max_20,0.003597
139,Bout_magn_2,0.003515
140,Vout_ss_1_kurt_20,0.003462
141,Vout_ss_2_mean_20,0.003441
142,Vout_ss_5_skew_20,0.003417
143,Bout_magn_2_min_20,0.003355
144,Bout_magn_3_delta,0.003353
145,Vout_ss_2_min_20,0.003338
146,Vout_ss_6_skew_20,0.003275
147,Vout_ss_6_min_20,0.003212
148,Vout_ss_1_mean_20,0.003117
149,mout_mtq_2_mean_20,0.003084
150,Vout_ss_2_kurt_20,0.003075
151,Vout_ss_5_median_20,0.003019
152,Vout_ss_4_kurt_20,0.003006
153,Vout_ss_4_median_20,0.002948
154,Bout_magn_1_delta,0.002920
155,Vout_ss_6_max_20,0.002897
156,mout_mtq_3_range_20,0.002881
157,Bout_magn_1_accel,0.002871
158,Vout_ss_3_skew_20,0.002862
159,Vout_ss_1_median_20,0.002859
160,Vout_ss_1_min_20,0.002802
161,mout_mtq_2_kurt_20,0.002778
162,Vout_ss_4_delta,0.002774
163,wout_gyro_3_delta,0.002603
164,Vout_ss_1_delta,0.002439
165,wout_gyro_2_accel,0.002437
166,Vout_ss_3_median_20,0.002402
167,mout_mtq_1_min_20,0.002363
168,Vout_ss_5_min_20,0.002301
169,mout_mtq_3_median_20,0.002258
170,Vout_ss_4_min_20,0.002222
171,wout_gyro_3_accel,0.002186
172,mout_mtq_3_delta,0.002039
173,mout_mtq_2_median_20,0.001993
174,mout_mtq_1_kurt_20,0.001966
175,mout_mtq_2_min_20,0.001836
176,mout_mtq_1_median_20,0.001732
177,wout_gyro_1_accel,0.001664
178,mout_mtq_2_delta,0.001640
179,Vout_ss_6_delta,0.001629
180,wout_gyro_2_delta,0.001575
181,Vout_ss_2_delta,0.001554
182,Vout_ss_6_accel,0.001517
183,mout_mtq_3_min_20,0.001374
184,Vout_ss_2_accel,0.001340
185,mout_mtq_1_delta,0.001211
186,wout_gyro_1_delta,0.001210
187,Vout_ss_5_accel,0.001151
188,Vout_ss_1_accel,0.001146
189,Vout_ss_4_accel,0.001107
190,Vout_ss_3_accel,0.001052
191,mout_mtq_3_skew_20,0.001023
192,mout_mtq_2_accel,0.000990
193,Vout_ss_3_delta,0.000915
194,mout_mtq_1_accel,0.000534
195,mout_mtq_3_accel,0.000142
