Rank,Feature,Importance
1,Bout_magn_1_var_5,0.067397
2,Bout_magn_3_var_5,0.065682
3,Bout_magn_2_var_5,0.059758
4,mout_mtq_2_delta,0.047053
5,mout_mtq_1_delta,0.043232
6,mout_mtq_3_delta,0.041564
7,Vout_ss_3_var_5,0.040032
8,mout_mtq_1_var_5,0.037611
9,mout_mtq_3_var_5,0.035353
10,Vout_ss_6_var_5,0.034063
11,Vout_ss_1_var_5,0.033889
12,mout_mtq_2_var_5,0.033432
13,Vout_ss_5_var_5,0.031512
14,Vout_ss_2_var_5,0.030294
15,Vout_ss_4_var_5,0.022137
16,Vout_ss_6_max_5,0.014133
17,Vout_ss_5,0.012616
18,Vout_ss_5_mean_5,0.012111
19,Vout_ss_5_delta,0.011676
20,Vout_ss_5_max_5,0.011473
21,Vout_ss_2,0.011327
22,Vout_ss_4,0.010402
23,Vout_ss_6_delta,0.010115
24,Vout_ss_3_mean_5,0.010086
25,Vout_ss_1_max_5,0.009979
26,Vout_ss_4_delta,0.009685
27,Vout_ss_3_max_5,0.009123
28,mout_mtq_2,0.009063
29,Vout_ss_5_min_5,0.008687
30,Vout_ss_6_mean_5,0.008397
31,Vout_ss_6_median_5,0.008225
32,Vout_ss_1,0.007824
33,Vout_ss_2_mean_5,0.007712
34,Vout_ss_4_median_5,0.007487
35,mout_mtq_3,0.007375
36,mout_mtq_1,0.007178
37,Vout_ss_1_delta,0.007017
38,Vout_ss_2_max_5,0.006886
39,Vout_ss_1_min_5,0.006861
40,Vout_ss_5_median_5,0.005874
41,Vout_ss_3_delta,0.005656
42,Vout_ss_4_max_5,0.005539
43,Vout_ss_1_mean_5,0.005512
44,mout_mtq_2_mean_5,0.005296
45,Vout_ss_2_delta,0.005115
46,Vout_ss_4_mean_5,0.005081
47,mout_mtq_2_max_5,0.005014
48,Vout_ss_3,0.004983
49,Vout_ss_6,0.004931
50,Vout_ss_1_median_5,0.004302
51,Vout_ss_6_min_5,0.004083
52,Bout_magn_2_delta,0.003798
53,Vout_ss_3_median_5,0.003744
54,mout_mtq_3_max_5,0.003633
55,Bout_magn_3_delta,0.003605
56,Bout_magn_1_delta,0.003325
57,mout_mtq_1_max_5,0.003197
58,Vout_ss_2_median_5,0.003176
59,mout_mtq_3_mean_5,0.003061
60,Vout_ss_2_min_5,0.002905
61,mout_mtq_3_median_5,0.002544
62,mout_mtq_1_mean_5,0.002387
63,Vout_ss_4_min_5,0.002167
64,mout_mtq_3_min_5,0.002158
65,wout_gyro_2_mean_5,0.002158
66,wout_gyro_2_median_5,0.001998
67,Vout_ss_3_min_5,0.001950
68,mout_mtq_2_median_5,0.001878
69,wout_gyro_2_max_5,0.001748
70,wout_gyro_2,0.001624
71,wout_gyro_1,0.001609
72,Bout_magn_3_max_5,0.001596
73,mout_mtq_1_min_5,0.001503
74,wout_gyro_1_max_5,0.001495
75,Bout_magn_3_mean_5,0.001480
76,Bout_magn_1_mean_5,0.001454
77,Bout_magn_2_mean_5,0.001449
78,Bout_magn_1_max_5,0.001443
79,Bout_magn_3_median_5,0.001434
80,Bout_magn_3,0.001419
81,Bout_magn_1_min_5,0.001401
82,Bout_magn_1_median_5,0.001377
83,wout_gyro_3_max_5,0.001376
84,wout_gyro_2_min_5,0.001318
85,Bout_magn_2_median_5,0.001285
86,wout_gyro_1_mean_5,0.001257
87,mout_mtq_1_median_5,0.001172
88,Bout_magn_2,0.001167
89,mout_mtq_2_min_5,0.001153
90,wout_gyro_3_mean_5,0.001126
91,Bout_magn_2_min_5,0.001120
92,wout_gyro_2_var_5,0.001027
93,wout_gyro_3_min_5,0.001019
94,wout_gyro_1_var_5,0.001018
95,Bout_magn_2_max_5,0.000991
96,wout_gyro_3_median_5,0.000962
97,Bout_magn_1,0.000931
98,Bout_magn_3_min_5,0.000931
99,wout_gyro_1_median_5,0.000915
100,wout_gyro_3,0.000901
101,wout_gyro_1_min_5,0.000684
102,wout_gyro_3_var_5,0.000564
103,wout_gyro_1_delta,0.000236
104,wout_gyro_3_delta,0.000175
105,wout_gyro_2_delta,0.000120
