Rank,Feature,Importance
1,mout_mtq_2,0.032770
2,mout_mtq_1,0.027127
3,Vout_ss_1_var_15,0.024355
4,Vout_ss_4_delta,0.022467
5,Vout_ss_6,0.021720
6,Vout_ss_3_var_15,0.020839
7,Vout_ss_5_var_15,0.020515
8,Vout_ss_6_var_15,0.020255
9,mout_mtq_3,0.020113
10,Vout_ss_1_delta,0.019922
11,wout_gyro_1_var_15,0.019741
12,Vout_ss_2,0.018224
13,Vout_ss_4_var_15,0.018077
14,Vout_ss_1,0.017951
15,Vout_ss_2_var_15,0.017858
16,Vout_ss_5,0.017815
17,Bout_magn_3_var_15,0.017278
18,wout_gyro_3_var_15,0.015628
19,Vout_ss_6_delta,0.015147
20,Vout_ss_5_delta,0.014984
21,wout_gyro_2_var_15,0.014380
22,mout_mtq_2_var_15,0.014256
23,Vout_ss_3,0.014177
24,mout_mtq_3_delta,0.013907
25,out_gps_3_delta,0.013240
26,Bout_magn_2_var_15,0.013105
27,out_gps_2_delta,0.012933
28,Vout_ss_4,0.012877
29,Vout_ss_2_delta,0.011926
30,Bout_magn_1_var_15,0.011333
31,Vout_ss_3_delta,0.010984
32,out_gps_2_var_15,0.010976
33,out_gps_1_var_15,0.010504
34,out_gps_3_var_15,0.010165
35,wout_gyro_3,0.010013
36,wout_gyro_2,0.009435
37,mout_mtq_1_delta,0.009382
38,out_gps_1_delta,0.009143
39,Bout_magn_1_delta,0.009137
40,mout_mtq_1_var_15,0.007973
41,Bout_magn_2_delta,0.007571
42,mout_mtq_2_delta,0.007547
43,wout_gyro_1,0.007373
44,Bout_magn_3_delta,0.007221
45,out_gps_1,0.007087
46,Bout_magn_1,0.006381
47,Vout_ss_1_median_15,0.006333
48,out_gps_1_max_15,0.006107
49,out_gps_1_mean_15,0.005874
50,mout_mtq_3_var_15,0.005667
51,wout_gyro_1_delta,0.005602
52,wout_gyro_3_delta,0.005512
53,out_gps_2,0.005494
54,Bout_magn_3,0.005425
55,wout_gyro_1_min_15,0.005399
56,wout_gyro_2_max_15,0.005300
57,wout_gyro_3_median_15,0.005206
58,mout_mtq_3_min_15,0.005056
59,Vout_ss_2_max_15,0.005055
60,Vout_ss_1_max_15,0.004975
61,Bout_magn_3_max_15,0.004931
62,mout_mtq_2_min_15,0.004843
63,out_gps_1_min_15,0.004635
64,out_gps_3,0.004553
65,Vout_ss_4_mean_15,0.004533
66,wout_gyro_2_delta,0.004472
67,Vout_ss_2_min_15,0.004359
68,Vout_ss_4_min_15,0.004304
69,Bout_magn_2_mean_15,0.004291
70,wout_gyro_1_max_15,0.004286
71,Vout_ss_6_median_15,0.004239
72,Vout_ss_6_mean_15,0.004235
73,Bout_magn_2,0.004235
74,Vout_ss_5_mean_15,0.004093
75,Vout_ss_5_max_15,0.004043
76,mout_mtq_1_min_15,0.004004
77,wout_gyro_1_median_15,0.003928
78,mout_mtq_3_max_15,0.003924
79,Vout_ss_1_mean_15,0.003875
80,out_gps_3_mean_15,0.003860
81,Vout_ss_5_min_15,0.003859
82,out_gps_2_median_15,0.003811
83,out_gps_3_min_15,0.003777
84,mout_mtq_2_max_15,0.003676
85,Bout_magn_3_median_15,0.003645
86,point_error_1_median_15,0.003639
87,Bout_magn_2_median_15,0.003622
88,Vout_ss_6_min_15,0.003619
89,out_gps_3_max_15,0.003616
90,Vout_ss_4_max_15,0.003590
91,mout_mtq_3_mean_15,0.003561
92,Bout_magn_1_median_15,0.003528
93,mout_mtq_1_mean_15,0.003527
94,Vout_ss_3_max_15,0.003527
95,Vout_ss_3_min_15,0.003513
96,wout_gyro_2_mean_15,0.003510
97,Bout_magn_1_min_15,0.003426
98,Vout_ss_2_mean_15,0.003402
99,Bout_magn_1_mean_15,0.003383
100,Bout_magn_1_max_15,0.003378
101,out_gps_1_median_15,0.003365
102,point_error_1_mean_15,0.003361
103,out_gps_2_max_15,0.003219
104,mout_mtq_2_median_15,0.003172
105,Bout_magn_2_min_15,0.003131
106,Vout_ss_4_median_15,0.003108
107,Vout_ss_3_median_15,0.003096
108,Vout_ss_1_min_15,0.003089
109,out_gps_2_mean_15,0.003083
110,point_error_1_var_15,0.003007
111,out_gps_2_min_15,0.002951
112,point_error_1_delta,0.002909
113,mout_mtq_2_mean_15,0.002891
114,mout_mtq_3_median_15,0.002859
115,point_error_1,0.002811
116,Vout_ss_5_median_15,0.002776
117,Vout_ss_6_max_15,0.002774
118,mout_mtq_1_median_15,0.002743
119,Vout_ss_3_mean_15,0.002716
120,point_error_1_max_15,0.002716
121,Bout_magn_3_min_15,0.002700
122,wout_gyro_2_median_15,0.002684
123,wout_gyro_3_max_15,0.002659
124,mout_mtq_1_max_15,0.002556
125,wout_gyro_1_mean_15,0.002474
126,point_error_1_min_15,0.002461
127,out_gps_3_median_15,0.002423
128,Bout_magn_3_mean_15,0.002385
129,Bout_magn_2_max_15,0.002252
130,Vout_ss_2_median_15,0.002145
131,wout_gyro_3_mean_15,0.001944
132,wout_gyro_2_min_15,0.001793
133,wout_gyro_3_min_15,0.001680
