Rank,Feature,Importance
1,mout_mtq_3_min_5,0.026420
2,mout_mtq_3_max_5,0.019800
3,mout_mtq_1,0.019337
4,Vout_ss_3_var_5,0.017745
5,Vout_ss_1_min_5,0.015368
6,mout_mtq_1_max_5,0.015085
7,Bout_magn_1_var_5,0.013900
8,Bout_magn_3_var_5,0.013573
9,Bout_magn_2_var_5,0.012093
10,mout_mtq_2,0.011977
11,mout_mtq_3,0.010556
12,Bout_magn_2_std_5,0.010413
13,wout_gyro_1_range_5,0.010410
14,Vout_ss_3_min_5,0.010284
15,Vout_ss_6_var_5,0.009947
16,mout_mtq_2_mean_5,0.009703
17,mout_mtq_3_dev_5,0.009352
18,mout_mtq_1_var_5,0.009212
19,Vout_ss_1_std_5,0.009158
20,mout_mtq_1_median_5,0.008919
21,Vout_ss_3_range_5,0.008619
22,mout_mtq_3_var_5,0.008542
23,mout_mtq_1_dev_5,0.008257
24,Bout_magn_3_std_5,0.008138
25,mout_mtq_2_dev_5,0.007948
26,Vout_ss_4_mean_5,0.007822
27,Bout_magn_1_mean_5,0.007630
28,Vout_ss_2_var_5,0.007620
29,mout_mtq_2_range_5,0.007609
30,Vout_ss_3_mean_5,0.007597
31,Vout_ss_2_min_5,0.007342
32,wout_gyro_2,0.007220
33,Vout_ss_4_range_5,0.007205
34,Vout_ss_6_min_5,0.007175
35,Vout_ss_5_var_5,0.007140
36,mout_mtq_1_min_5,0.007062
37,mout_mtq_2_delta,0.007048
38,Vout_ss_5_range_5,0.007030
39,Vout_ss_1_var_5,0.006711
40,Vout_ss_4_var_5,0.006518
41,mout_mtq_2_var_5,0.006462
42,Vout_ss_4_dev_5,0.006417
43,Vout_ss_6_median_5,0.006409
44,mout_mtq_1_mean_5,0.006349
45,Bout_magn_2_min_5,0.006324
46,Bout_magn_2_range_5,0.006310
47,mout_mtq_2_max_5,0.006222
48,Bout_magn_3_accel,0.006127
49,mout_mtq_2_min_5,0.006115
50,Vout_ss_5_dev_5,0.006089
51,Vout_ss_3,0.006046
52,wout_gyro_2_std_5,0.005956
53,Vout_ss_3_max_5,0.005884
54,mout_mtq_3_std_5,0.005813
55,Vout_ss_5_mean_5,0.005749
56,Vout_ss_5_min_5,0.005739
57,Bout_magn_1_std_5,0.005734
58,Vout_ss_4_max_5,0.005710
59,mout_mtq_1_kurt_5,0.005683
60,Vout_ss_5_max_5,0.005670
61,mout_mtq_2_std_5,0.005590
62,Bout_magn_3_min_5,0.005555
63,Vout_ss_2_max_5,0.005550
64,mout_mtq_3_mean_5,0.005530
65,Bout_magn_1_min_5,0.005496
66,Vout_ss_1_range_5,0.005495
67,mout_mtq_1_std_5,0.005495
68,wout_gyro_2_var_5,0.005408
69,Vout_ss_2_mean_5,0.005401
70,wout_gyro_3_range_5,0.005351
71,Vout_ss_1_median_5,0.005326
72,Vout_ss_1_max_5,0.005302
73,Vout_ss_1_dev_5,0.005250
74,mout_mtq_2_median_5,0.005221
75,Bout_magn_1_range_5,0.005209
76,Vout_ss_2_median_5,0.005157
77,wout_gyro_3_var_5,0.005114
78,Vout_ss_5,0.005010
79,wout_gyro_1_var_5,0.004996
80,Bout_magn_1_max_5,0.004984
81,Bout_magn_3_mean_5,0.004976
82,Bout_magn_2,0.004927
83,Bout_magn_2_accel,0.004895
84,mout_mtq_3_median_5,0.004850
85,Vout_ss_6_max_5,0.004761
86,wout_gyro_3,0.004754
87,Bout_magn_3_range_5,0.004740
88,Vout_ss_1_mean_5,0.004716
89,Bout_magn_2_mean_5,0.004716
90,wout_gyro_1,0.004707
91,Bout_magn_1_accel,0.004706
92,Vout_ss_2,0.004682
93,Bout_magn_3,0.004680
94,Vout_ss_2_std_5,0.004675
95,Vout_ss_4,0.004656
96,Vout_ss_1,0.004651
97,Vout_ss_6_mean_5,0.004622
98,wout_gyro_3_mean_5,0.004586
99,wout_gyro_1_mean_5,0.004522
100,wout_gyro_2_mean_5,0.004511
101,Vout_ss_6,0.004505
102,Vout_ss_3_median_5,0.004486
103,Bout_magn_2_median_5,0.004445
104,wout_gyro_3_min_5,0.004444
105,wout_gyro_2_max_5,0.004396
106,Bout_magn_3_max_5,0.004392
107,wout_gyro_3_median_5,0.004366
108,Vout_ss_6_range_5,0.004360
109,mout_mtq_3_kurt_5,0.004342
110,Vout_ss_2_range_5,0.004332
111,wout_gyro_2_min_5,0.004324
112,wout_gyro_1_min_5,0.004320
113,Vout_ss_4_min_5,0.004233
114,wout_gyro_2_median_5,0.004225
