file,model,window_size,macro_f1,micro_f1,hamming,model_size_kb,subset_accuracy,hamming_loss,inference_time,tipo,precision_macro,recall_macro,support
WaveletThresholds_W5,Wavelet Thresholds,5,0.39081070328821393,0.4278020206785391,,,,,,multiclase,0.9334235127096844,0.2893702512638617,19365.0
WaveletThresholds_W10,Wavelet Thresholds,10,0.48319220091090637,0.5155878652313715,,,,,,multiclase,0.9777781109622687,0.3532538702292279,26340.0
WaveletThresholds_W15,Wavelet Thresholds,15,0.5206083421505133,0.5621786736076753,,,,,,multiclase,0.9829953345181969,0.3984596598396191,33270.0
WaveletThresholds_W20,Wavelet Thresholds,20,0.5405438390649586,0.5744213023078655,,,,,,multiclase,0.9578455945764275,0.4225916638754175,40153.0
classification_report_multi_LSTM_W5.txt,LSTM,5.0,0.6508,0.6488,,713.9248,,,,DL,,,
classification_report_multi_LSTM_W10.txt,LSTM,10.0,0.6725,0.6672,,713.9268,,,,DL,,,
classification_report_multi_LSTM_W15.txt,LSTM,15.0,0.7299,0.7228,,1494.6865,,,,DL,,,
classification_report_multi_LSTM_W20.txt,LSTM,20.0,0.7194,0.715,,1494.6865,,,,DL,,,
classification_report_multi_GRU_W5.txt,GRU,5.0,0.6626,0.6574,0.0347,1372.3818,,,,DL,,,
classification_report_multi_GRU_W10.txt,GRU,10.0,0.6704,0.6667,0.0259,1372.3818,,,,DL,,,
classification_report_multi_GRU_W15.txt,GRU,15.0,0.7416,0.7348,0.0176,1372.3936,,,,DL,,,
classification_report_multi_GRU_W20.txt,GRU,20.0,0.7355,0.7281,0.0167,1372.3936,,,,DL,,,
classification_report_multi_BILSTM_W5.txt,BiLSTM+Temporal Attention,5.0,0.6244,0.6288,0.0335,1862.4375,,,,DL,,,
classification_report_multi_BILSTM_W10.txt,BiLSTM+Temporal Attention,10.0,0.6696,0.6647,0.0267,1862.4385,,,,DL,,,
classification_report_multi_BILSTM_W15.txt,BiLSTM+Temporal Attention,15.0,0.7526,0.7473,0.017,1886.8252,,,,DL,,,
classification_report_multi_BILSTM_W20.txt,BiLSTM+Temporal Attention,20.0,0.7223,0.7207,0.0164,1862.4541,,,,DL,,,
classification_report_multi_CNN_LSTM_W5.txt,CNN+LSTM,5.0,0.5809,0.5829,0.0375,544.3145,,,,DL,,,
classification_report_multi_CNN_LSTM_W10.txt,CNN+LSTM,10.0,0.5779,0.5691,0.0342,422.9385,,,,DL,,,
classification_report_multi_CNN_LSTM_W15.txt,CNN+LSTM,15.0,0.6494,0.6436,0.0237,422.96,,,,DL,,,
classification_report_multi_CNN_LSTM_W20.txt,CNN+LSTM,20.0,0.6862,0.6838,0.0181,884.1367,,,,DL,,,
classification_report_multi_Variance_W5.txt,Variance-based Thresholding,5.0,0.6109,0.6205,,,,,,stat,,,
classification_report_multi_Variance_W10.txt,Variance-based Thresholding,10.0,0.5976,0.6087,,,,,,stat,,,
classification_report_multi_Variance_W15.txt,Variance-based Thresholding,15.0,0.5442,0.5494,,,,,,stat,,,
classification_report_multi_Variance_W20.txt,Variance-based Thresholding,20.0,0.5045,0.4975,,,,,,stat,,,
classification_report_multi_Adaptative_W5.txt,Adaptive Variance Thresholding,5.0,0.5642,0.5842,,,,,,other,,,
