Feature,MeanAbsSHAP
Bout_magn_3_std_15,0.1766608988926194
Bout_magn_2_std_15,0.1550822772733975
Vout_ss_5_std_15,0.026149372058964015
Vout_ss_2_std_15,0.02354411701823659
Bout_magn_1_std_15,0.021958396295156703
Vout_ss_3_std_15,0.020580056024823778
Vout_ss_4_std_15,0.017095127250706978
Vout_ss_1_std_15,0.016713861437622504
Vout_ss_6_std_15,0.01571065269046005
mout_mtq_3_std_15,0.011868836032059
Vout_ss_3_var_15,0.010797156549944155
Bout_magn_2_var_15,0.009295232078516964
Vout_ss_6_var_15,0.008413136539819384
mout_mtq_1_std_15,0.008134673445383853
mout_mtq_3_var_15,0.007816849137699991
Vout_ss_2_var_15,0.007547078610817538
Vout_ss_4_var_15,0.0071085973394230135
Vout_ss_1_var_15,0.007073929624821912
mout_mtq_2_std_15,0.006976154561096067
Vout_ss_2_skew_15,0.005132433599305012
mout_mtq_2_kurt_15,0.004821629331062684
mout_mtq_2_var_15,0.0044668311577442206
mout_mtq_3_skew_15,0.004308372457073566
mout_mtq_2_skew_15,0.003457382486681473
wout_gyro_1_skew_15,0.0033140761336076232
mout_mtq_1_var_15,0.0032858261021008147
Vout_ss_3_skew_15,0.0030899283916014488
wout_gyro_3_skew_15,0.002243851111759219
wout_gyro_3_var_15,0.002136643573746055
Vout_ss_1_skew_15,0.0019496082370813782
Vout_ss_6_kurt_15,0.0017840586517360237
Vout_ss_5_var_15,0.0015930106747626554
wout_gyro_3_std_15,0.00153729801347686
mout_mtq_2_range_15,0.0015341226857628829
Bout_magn_3_mean_15,0.0012431079116344199
wout_gyro_2_var_15,0.0011740559554515527
Vout_ss_6_skew_15,0.0011622122065447086
wout_gyro_2_std_15,0.0011515388192672815
Vout_ss_6_range_15,0.0010535916615435096
Vout_ss_5_skew_15,0.0007586758773418865
mout_mtq_1_kurt_15,0.0006670765421321366
mout_mtq_1_skew_15,0.0005080577109137751
mout_mtq_1_range_15,0.0003950747834971607
Vout_ss_5_kurt_15,0.0003433426778628171
Vout_ss_4_skew_15,0.00029868778620304874
Vout_ss_4_range_15,0.00027760819157790766
Vout_ss_3_dev_15,0.0002719373977821835
wout_gyro_1_std_15,0.0002577091188933754
Vout_ss_4_mean_15,0.00024188891211233366
Vout_ss_1_mean_15,0.00021307575336320067
Vout_ss_5_mean_15,0.000165234285284806
Vout_ss_3_mean_15,0.0001293467680482922
Bout_magn_1_range_15,0.00010064426253995325
Vout_ss_2_mean_15,7.338212793766319e-05
wout_gyro_1_var_15,0.0
Bout_magn_1_var_15,0.0
Bout_magn_3_var_15,0.0
mout_mtq_2_mean_15,0.0
mout_mtq_1_mean_15,0.0
wout_gyro_3_mean_15,0.0
wout_gyro_2_mean_15,0.0
mout_mtq_3_mean_15,0.0
Bout_magn_1_mean_15,0.0
Bout_magn_2_mean_15,0.0
wout_gyro_1_mean_15,0.0
Vout_ss_6_mean_15,0.0
wout_gyro_2_kurt_15,0.0
wout_gyro_3_kurt_15,0.0
Bout_magn_3_kurt_15,0.0
Bout_magn_2_kurt_15,0.0
Bout_magn_1_kurt_15,0.0
Vout_ss_3_kurt_15,0.0
Vout_ss_4_kurt_15,0.0
wout_gyro_2_skew_15,0.0
Bout_magn_1_skew_15,0.0
Bout_magn_2_skew_15,0.0
Bout_magn_3_skew_15,0.0
mout_mtq_3_kurt_15,0.0
wout_gyro_1_kurt_15,0.0
Vout_ss_1_kurt_15,0.0
Vout_ss_2_kurt_15,0.0
Vout_ss_5_range_15,0.0
Vout_ss_3_range_15,0.0
Vout_ss_1_range_15,0.0
Bout_magn_2_range_15,0.0
wout_gyro_1_range_15,0.0
Bout_magn_3_range_15,0.0
wout_gyro_3_range_15,0.0
Vout_ss_2_range_15,0.0
wout_gyro_2_range_15,0.0
mout_mtq_3_range_15,0.0
Vout_ss_1_dev_15,0.0
Vout_ss_2_dev_15,0.0
Vout_ss_4_dev_15,0.0
Vout_ss_5_dev_15,0.0
Vout_ss_6_dev_15,0.0
Bout_magn_1_dev_15,0.0
Bout_magn_2_dev_15,0.0
Bout_magn_3_dev_15,0.0
wout_gyro_1_dev_15,0.0
wout_gyro_2_dev_15,0.0
wout_gyro_3_dev_15,0.0
mout_mtq_1_dev_15,0.0
mout_mtq_2_dev_15,0.0
mout_mtq_3_dev_15,0.0
