Feature,MeanAbsSHAP
Bout_magn_2_std_5,0.794458
mout_mtq_2_var_5,0.53861445
mout_mtq_1_var_5,0.50545704
Bout_magn_3_std_5,0.50534755
Bout_magn_1_std_5,0.48097298
mout_mtq_3_var_5,0.26396766
Vout_ss_3_var_5,0.19648209
wout_gyro_1_std_5,0.19050163
wout_gyro_3_std_5,0.18436623
wout_gyro_3_var_5,0.17395952
Bout_magn_3_var_5,0.16083394
wout_gyro_2_skew_5,0.15232126
mout_mtq_3_skew_5,0.14002612
Vout_ss_2_var_5,0.13217112
wout_gyro_3_dev_5,0.12817186
mout_mtq_2_skew_5,0.11144486
Vout_ss_1_var_5,0.105864994
wout_gyro_2_var_5,0.10384337
Bout_magn_2_var_5,0.09922939
Bout_magn_3_mean_5,0.09640978
mout_mtq_2_dev_5,0.094764814
wout_gyro_1_range_5,0.093755886
mout_mtq_1_skew_5,0.0904856
Bout_magn_3_range_5,0.08562934
Bout_magn_3_skew_5,0.082416065
Bout_magn_1_range_5,0.07865444
wout_gyro_3_kurt_5,0.077261664
Vout_ss_6_var_5,0.07641043
Vout_ss_5_std_5,0.07499456
Vout_ss_4_var_5,0.07075172
mout_mtq_3_mean_5,0.06892622
wout_gyro_2_std_5,0.067824185
Vout_ss_2_kurt_5,0.06349507
Bout_magn_1_skew_5,0.062119804
mout_mtq_1_mean_5,0.06085122
Bout_magn_1_mean_5,0.05952018
wout_gyro_3_range_5,0.059495803
Vout_ss_2_std_5,0.054730233
mout_mtq_1_range_5,0.050970964
mout_mtq_1_dev_5,0.05048566
wout_gyro_1_mean_5,0.04850096
wout_gyro_3_skew_5,0.045658454
mout_mtq_2_range_5,0.043652635
Vout_ss_1_kurt_5,0.043142315
Bout_magn_1_dev_5,0.042854525
wout_gyro_1_kurt_5,0.040347304
Vout_ss_5_var_5,0.04029062
Vout_ss_5_range_5,0.03959902
wout_gyro_2_dev_5,0.03780459
mout_mtq_2_std_5,0.035901014
wout_gyro_1_skew_5,0.033138964
wout_gyro_1_var_5,0.03136864
Vout_ss_4_range_5,0.030381944
mout_mtq_1_std_5,0.029492173
Bout_magn_1_var_5,0.028359944
mout_mtq_3_std_5,0.027168078
Bout_magn_2_dev_5,0.02655553
Vout_ss_5_kurt_5,0.026356852
mout_mtq_2_mean_5,0.026324464
Vout_ss_6_skew_5,0.025342193
Bout_magn_3_dev_5,0.025262276
mout_mtq_3_range_5,0.024799854
wout_gyro_2_kurt_5,0.02374288
Vout_ss_1_skew_5,0.021403221
wout_gyro_2_range_5,0.01892906
Vout_ss_2_range_5,0.018135957
Bout_magn_2_kurt_5,0.017912192
Vout_ss_2_mean_5,0.016106496
Vout_ss_2_skew_5,0.015760485
Bout_magn_2_skew_5,0.013966771
Bout_magn_1_kurt_5,0.013623232
Vout_ss_6_mean_5,0.013154633
mout_mtq_3_dev_5,0.012871435
wout_gyro_2_mean_5,0.011510301
Vout_ss_4_skew_5,0.011411222
Bout_magn_3_kurt_5,0.010950609
mout_mtq_2_kurt_5,0.010927576
Vout_ss_6_range_5,0.0104418015
wout_gyro_1_dev_5,0.009993725
Vout_ss_3_mean_5,0.009144879
Vout_ss_6_kurt_5,0.008792918
Vout_ss_4_std_5,0.008078578
Vout_ss_1_mean_5,0.007906647
mout_mtq_3_kurt_5,0.0076094517
Vout_ss_4_mean_5,0.0073673273
Vout_ss_5_mean_5,0.0063933535
Vout_ss_3_std_5,0.006379459
Vout_ss_3_skew_5,0.006253115
Vout_ss_1_std_5,0.006092103
Vout_ss_4_kurt_5,0.0060772505
Vout_ss_4_dev_5,0.0060623777
Vout_ss_6_std_5,0.005752272
Bout_magn_2_mean_5,0.005699564
Vout_ss_2_dev_5,0.0054159868
Vout_ss_5_skew_5,0.004771562
mout_mtq_1_kurt_5,0.0042783543
wout_gyro_3_mean_5,0.0038734977
Vout_ss_1_range_5,0.0028701092
Vout_ss_3_range_5,0.0025373714
Bout_magn_2_range_5,0.0017905711
Vout_ss_5_dev_5,0.0016392317
Vout_ss_3_kurt_5,0.0014439988
Vout_ss_1_dev_5,0.0011193303
Vout_ss_3_dev_5,0.0009358605
Vout_ss_6_dev_5,0.0007339086
