Feature_A,Feature_B,MeanAbsInteraction
Bout_magn_1_std_5,Bout_magn_2_std_5,0.8820102
Bout_magn_2_std_5,Bout_magn_3_std_5,0.76870686
Bout_magn_1_std_5,Bout_magn_3_std_5,0.3506696
mout_mtq_1_var_5,mout_mtq_2_var_5,0.25476402
mout_mtq_1_var_5,mout_mtq_3_var_5,0.17730062
Bout_magn_3_var_5,Bout_magn_3_std_5,0.15212461
Bout_magn_3_mean_5,Bout_magn_3_std_5,0.12827283
mout_mtq_3_var_5,wout_gyro_2_std_5,0.10767166
mout_mtq_3_var_5,mout_mtq_1_skew_5,0.10346149
mout_mtq_1_var_5,wout_gyro_3_dev_5,0.0994283
mout_mtq_2_var_5,mout_mtq_1_mean_5,0.094078004
Bout_magn_3_var_5,Bout_magn_1_std_5,0.092984974
wout_gyro_2_std_5,wout_gyro_3_std_5,0.09280514
Bout_magn_3_var_5,Bout_magn_3_skew_5,0.08671945
mout_mtq_2_var_5,mout_mtq_1_skew_5,0.08669154
Bout_magn_1_std_5,Bout_magn_1_skew_5,0.083224304
Bout_magn_1_mean_5,Bout_magn_1_std_5,0.07910876
Bout_magn_3_var_5,mout_mtq_2_var_5,0.077230655
wout_gyro_3_std_5,mout_mtq_2_dev_5,0.07639803
Bout_magn_1_var_5,wout_gyro_3_std_5,0.07526069
